"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Cyprus","CYP","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","419.55317334","431.87938607","469.92229881","545.67353718","641.96951714","680.71634454","712.36832008","826.76424346","1107.7984432","1051.13454873","802.19052119","921.64582518","855.56311717","827.99314859","827.30943816","701.33554741","734.23967756","","","",
"Czech Republic","CZE","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.96939657","41.35377436","49.78267903","66.41870267","79.89461969","94.58347857","109.71929465","151.32845676","233.82108502","217.06531334","209.5366084","227.80875772","212.15503406","211.1933217","213.05014646","190.40352636","198.55774004","","","",
"Germany","DEU","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","281.97925937","283.19561451","316.49444087","396.36099026","475.31057555","495.051425","528.80096763","595.61974611","647.89338498","639.97550268","639.49474948","696.69543177","660.25021436","663.59222863","665.45722509","584.55872751","585.02057791","","","",
"Djibouti","DJI","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.40482167","16.9965815","17.22447016","17.05912833","16.65783594","17.07149209","17.83605627","17.99455812","16.92300339","16.50971151","16.11057616","16.42818802","16.32769516","16.0048935","16.32470037","16.65981325","18.08546383","","","",
"Dominica","DMA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.74925257","93.28886534","93.43513421","97.23897716","107.72195778","109.36416275","112.62182511","130.29441391","154.57737971","154.43938767","140.92098264","134.27074974","140.91764374","139.5737321","136.67729483","124.39697971","122.23563856","","","",
"Denmark","DNK","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","383.30380094","393.41415875","426.50564611","525.08426818","623.82549718","653.49409357","694.20230946","796.29582505","866.51884859","851.41363839","864.80245624","913.93441326","850.08583918","861.27327774","878.92437057","747.91877069","763.17472665","","","",
"Dominican Republic","DOM","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.60709993","77.12116469","77.41808552","61.51928815","65.19398016","90.17398698","88.50193859","92.42668598","101.88760208","107.20522697","131.59834632","138.63257073","150.67406527","148.19169461","157.71455216","167.52753623","184.79042474","","","",
"Algeria","DZA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.81278256","14.41059445","14.90531562","15.94979543","24.03680618","28.17625121","33.85102653","42.23954845","53.89229408","56.91546173","65.96736711","79.76047651","85.87483575","91.01616911","95.41023144","81.94641051","80.42392213","","","",
"East Asia & Pacific (excluding high income)","EAP","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2196511146671","22.9732569483387","25.2885868292488","27.9677982152731","30.6388822048755","35.1838744318772","38.8115815881862","42.9533073941054","52.9517784661263","58.8126484325722","66.0689703121701","81.4497281558718","92.5526063519055","102.076045487745","106.647821085843","109.525115152901","113.449487857655","","","",
"Early-demographic dividend","EAR","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.9722443329383","29.3085831864137","27.6144550581581","29.9470895463823","33.2763859886049","39.0793272709027","42.2752853375752","48.452035143302","50.4923349366675","49.5065695622549","57.4356978176903","60.2395935123432","60.6187937414421","63.2940802447769","62.6849355764395","62.5689988592466","58.4593243354661","","","",
